GEOID,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010202021036,0,0,0,0,0,0
150010202021184,0,0,0,0,0,0
150010202021076,0,0,0,0,0,0
150010202021005,0,0,0,0,0,0
150010209003002,1.1,0.3,1,0.4,0,0
150010208011051,14.2,4.6,11.8,6.6,0.4,0.1
150010208011048,16.8,5.5,14,7.8,0.5,0.2
150010208011022,6,2,5,2.8,0.2,0.1
150010208011017,1.9,0.6,1.6,0.9,0.1,0
150010208011059,1.1,0.4,0.9,0.5,0,0
150010208011026,3,1,2.5,1.4,0.1,0
150010212022273,0,0,0,0,0,0
150010212022033,0,0,0,0,0,0
150010212022275,0,0,0,0,0,0
150010212024004,0,0,0,0,0,0
150010212022302,0,0,0,0,0,0
150010212022379,0,0,0,0,0,0
150010212022378,0,0,0,0,0,0
150010212022362,0,0,0,0,0,0
150010212022350,0,0,0,0,0,0
150010212022313,0,0,0,0,0,0
150010212022251,0,0,0,0,0,0
150010212022108,0,0,0,0,0,0
150010212021050,3.7,1,3.2,1.3,0.2,0
150010212021079,3.2,0.9,2.8,1.1,0.1,0
150010212021109,0,0,0,0,0,0
150010212021077,0,0,0,0,0,0
150010210132046,10.3,3.4,8.8,4.3,0.5,0.1
150010210133059,26.6,8.8,22.9,11.2,1.4,0.3
150010210133067,0.3,0.1,0.2,0.1,0,0
150010210132033,11.9,3.9,10.3,5,0.6,0.1
150010210132008,10,3.3,8.6,4.2,0.5,0.1
150010210133038,12.7,4.2,11,5.4,0.7,0.1
150010210131286,0,0,0,0,0,0
150010210133016,6.4,2.1,5.5,2.7,0.3,0.1
150010210102024,0,0,0,0,0,0
150010210103052,10.3,3.4,8.8,4.3,0.5,0.1
150010215042108,26.2,14.7,24.6,14.3,1.7,0.4
150010215071133,0,0,0,0,0,0
150010215021003,8.7,5.4,8.1,5.6,0.4,0.1
150010215022038,0,0,0,0,0,0
150010215022036,0,0,0,0,0,0
150010216011006,14.2,7.9,13.4,7.9,0.6,0.1
150010216015016,0,0,0,0,0,0
150010216015038,49.3,27.6,46.4,26.9,3.2,0.7
150010216041010,0,0,0,0,0,0
150010216045004,3.9,2.5,3.8,2.3,0.2,0
150010216014002,0,0,0,0,0,0
150019914000001,0,0,0,0,0,0
150010215071018,0,0,0,0,0,0
150010201002147,0,0,0,0,0,0
150010201002096,0,0,0,0,0,0
150010201001203,0,0,0,0,0,0
150010201002014,1,0.2,0.9,0.3,0,0
150010201002167,0,0,0,0,0,0
150010201001087,0,0,0,0,0,0
150010201001091,0,0,0,0,0,0
150010201001045,0,0,0,0,0,0
