GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27097000050,27,097,000050,93.76,367.5,2.29,1.14,0.04,0,0,0,4,0,95.36,339.55,17.47,5.29,1
27097000055,27,097,000055,69.1,272.17,0.02,0.01,0.98,0,0,0,0.01,0.98,68.15,249.29,10.09,7.89,0.98
27097000060,27,097,000060,8.25,62.8,3,0.99,0,0,0,0,0,0,12.23,58.72,2.05,0.02,0
27097000065,27,097,000065,77.28,569.71,2.99,0.01,0.99,0,0,0,0.99,0,79.28,541.96,16.84,4.95,0
27097000070,27,097,000070,23,110,2,0,0,0,0,0,0,0,25,99,8,0,0
27097000075,27,097,000075,3.32,33.65,0.03,0,0,0,0,0.01,0,0,2.4,31.44,1.1,0.01,0.01
27097000080,27,097,000080,38,250,3,1,1,0,0,0,1,0,38,240,10,4,0
27097000085,27,097,000085,121.23,355.08,4.28,0.16,0.02,0.02,0.98,0.11,2,1,116.26,317.76,30.71,10.49,0
27097000090,27,097,000090,19,42,0,0,0,0,0,0,1,0,22,35,2,1,0
27097000095,27,097,000095,6,11,0,0,0,0,0,0,0,0,7,9,0,1,0
27097000100,27,097,000100,13,101,0,0,0,0,0,0,0,0,16,91,4,0,0
27097000105,27,097,000105,56,196,1,0,1,0,0,0,1,0,62,175,13,0,0
27097000110,27,097,000110,16,34,1,0,0,0,0,0,0,0,17,27,5,1,0
27097000115,27,097,000115,14,110,1,1,0,0,0,0,1,0,20,101,2,1,0
27097000120,27,097,000120,487.51,793.06,12.58,4.85,4.84,0.97,0,5.8,0.98,2.92,462.37,680.68,107.49,27.12,0.97
27097000125,27,097,000125,669.95,1367.04,15.98,4.06,3.98,0.99,1,2.98,7.01,4.98,639.29,1201.79,138.21,49.11,0
27097000130,27,097,000130,315.91,833.19,16.73,6.8,0.97,0.97,0.02,4.86,2.02,1.08,311.89,693.49,106.36,32.53,0
27097000135,27,097,000135,303.93,781.13,3.43,3.16,1.16,0.03,0,1.2,2.03,4.08,302.07,722.38,45.6,13.9,0.03
27097000140,27,097,000140,57,360,3,2,0,0,0,1,1,0,68,329,16,6,0
27097000145,27,097,000145,76.85,215.96,3.89,2.92,0.97,0,0,1.95,0,0,75.88,182.88,28.21,10.7,0
27097000150,27,097,000150,38.89,128.82,2.09,1,1,0,0,0.09,2.27,0.09,35.62,122.94,10.07,3.9,0
27097000155,27,097,000155,9,46,0,1,0,0,0,0,0,0,11,38,6,0,0
27097000160,27,097,000160,60,196,3,1,1,0,0,0,0,0,68,176,9,3,0
27097000165,27,097,000165,148.01,566.19,10,1,3,0,0,0,2,1,152.02,492.18,48,12,1
27097000170,27,097,000170,34.65,290.09,2.97,0,0,0,0,0.99,0,0,43.56,267.32,10.89,0.99,0.99
27097000175,27,097,000175,117.56,452.56,2.94,0.04,0.01,0.01,0,0.03,0.96,1.9,116.59,429.93,18.64,5.88,0
27097000180,27,097,000180,23,173,1,0,0,0,0,0,0,0,34,151,7,5,0
27097000185,27,097,000185,37.99,138.96,0,0,1,0,0,0,2,0,40.99,125.96,8,0,0
27097000195,27,097,000195,74.9,270.83,1.98,0.99,0.02,0,0,0,0.99,0.02,77.85,229.71,30.91,8.11,0.02
27097000200,27,097,000200,60.01,269.04,3,0,0,0,0,1,1,0,70.01,254.04,5,2,0
27097000205,27,097,000205,87.7,343.09,7.71,3.85,0.96,0,0,0,0,0,102.16,317.07,11.56,7.71,0
27097000210,27,097,000210,18.06,134.39,1.02,1.02,0,0,0,1,0.01,0,18.01,126.22,7.2,4.05,0
27097000215,27,097,000215,155.45,467.24,4.03,2,2.99,0,0,0.01,1.99,1,153.54,405.05,51.04,10.01,0
27097000220,27,097,000220,292.79,670.51,12.33,5,2.08,0,0,2,3,7,270.95,636.85,44.99,18.66,1
27097000225,27,097,000225,22.28,101.8,1.26,0,0.05,0,0,1,1,0.11,27.88,89.77,5.56,1.17,0
27097000230,27,097,000230,104.56,347.23,4.93,1.97,1.97,0,0,0.99,0,0,105.55,323.55,11.84,6.91,0
27097000235,27,097,000235,38.8,125.36,2.98,0,0,0,0,0,0,0,36.81,112.43,12.93,3.98,0
27097000240,27,097,000240,35.35,251.48,4.77,0,0.95,0,0,0,0,1.9,46.75,233.36,9.57,2.87,0
27097000245,27,097,000245,65.73,419.51,4.03,0.03,0.03,0,0,0.01,0,0.99,76.64,392.46,12.04,6.03,0
27097000250,27,097,000250,45.47,193.49,2.02,0,1.01,0,0,0,2.01,0,50.49,176.32,12.1,3.03,0
27099000005,27,099,000005,157.4,222.15,1.99,1,2.99,0,0,1,1.99,1,164.37,189.28,21.92,8.97,0
27099000010,27,099,000010,121.67,151.96,0.01,0,2.01,0,0,0,0.01,3,131.7,133.83,12.09,2.04,0
27099000015,27,099,000015,1058.21,678.63,15.02,2.85,0.05,0,0,6.63,1.06,6.53,961.89,569.13,138.21,34.95,1.86
27099000020,27,099,000020,994.57,719.84,14.86,4.95,3.96,0,0,3.97,4.97,0.99,857.04,611.73,182.27,44.57,0
27099000025,27,099,000025,25.89,29.94,0.81,0,0,0,0,0,0,0,25.08,28.32,1.62,0,0
27099000030,27,099,000030,957.36,784.6,11.17,4.05,3.05,2,0,6.09,7,8.04,885.02,670.84,141.44,41.46,0
