GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27145000390,27,145,000390,357.4,318.3,13.2,3.6,0.1,425,249,11.2,4.4,0,420.1,237,20.5,1,414.2,222.7,26.8,8.8,0,432.2,217.1,33.8,0.1
27145000399,27,145,000399,63.7,47.1,1,0,0,84.5,24.1,2.1,1.1,0,84.4,20.1,7.2,0,88.2,18.2,1.2,3,0,80.5,25.1,5.1,0
27145000400,27,145,000400,127.4,56,1,1,0,149.6,29.9,1.9,1.9,0,147.6,29,5.8,0,141.8,31.8,4.8,1,0,149.6,30.9,1.9,0
27145000404,27,145,000404,20,10,1,0,0,21,9,1,0,0,21,8,1,0,19,7,3,1,0,23,5,2,0
27145000405,27,145,000405,293.6,141.2,9.2,5.1,0,334.7,94.9,13.3,7.1,0,343,78.6,22.5,0,317.6,78.5,23.5,19.2,0,328.8,89.5,27.6,0
27145000410,27,145,000410,650.3,541.3,22.1,6,0,763.5,419.2,20,17,1,794.5,372.1,42.1,1,737.5,372.9,53.1,29.1,0,782.5,351.1,65.1,0
27145000414,27,145,000414,772.4,637.3,32.2,14.3,0,881.4,527.4,30.4,14.3,0.9,919.8,464.8,43.8,0,855.5,449.6,68.8,28.6,0,919.8,444.3,63.5,3.6
27145000415,27,145,000415,382,462,21,14,0,454,390,20,13,0,476,346,41,0,457,333,41,21,0,472,345,50,0
27145000416,27,145,000416,821.2,841.5,50.9,14.7,0.4,920.9,740.8,44.7,16.3,0.5,953.3,691.5,57.3,0,895.3,665.5,90.9,36.5,0,946.5,648.6,103,1.3
27145000417,27,145,000417,414.1,471.6,18,3.7,0,498.7,386.7,13.9,7.7,0.1,512,347.9,26.4,0,495.8,332.5,32.5,17.4,0,521.5,319.2,50.1,0.4
