GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17031830006,17,031,830006,493.26,342.75,14.28,3.81,0,1.9,406.63,431.28,13.33,8.57,3.81
17031830007,17,031,830007,774.83,332.94,18.99,1,0,0,679.85,404.92,15,7,5
17031830008,17,031,830008,609.5,359.23,9.27,5.61,1,0.02,544,411.5,11.29,8.73,7.32
17031830009,17,031,830009,400.91,192.55,6.95,4.96,0,1.98,336.42,245.13,9.92,10.91,3.97
17031830010,17,031,830010,500.37,279.15,9,5,1,2,485.33,273.17,11.01,8.01,6
17031830011,17,031,830011,336,171,3,2,0,1,317,179,5,4,3
17031830012,17,031,830012,879,471,17,4,3,0,770,555,29,6,8
17031830013,17,031,830013,413.97,291.28,9.83,0.98,0.98,0,392.3,299.14,17.7,1.97,5.9
17031830014,17,031,830014,516,214,6,1,1,0,482,236,4,2,2
17031830015,17,031,830015,459.27,171.97,4.06,1.04,1.01,0.01,439.88,182,6.13,4.07,4.07
17031830016,17,031,830016,711.58,306.26,15.28,1.05,0.12,0.06,669.54,342.1,4.58,4.38,3.17
17031830017,17,031,830017,494,237,4,2,0,0,483,227,5,3,3
17031830018,17,031,830018,807,286,9,4,1,1,740,348,14,7,3
17031830019,17,031,830019,626.94,289.81,6.18,4.05,0.01,1.01,560.13,340.33,16.27,6.09,6.11
17031830020,17,031,830020,602.98,278.77,4.09,0.07,0.02,1,558.54,308,10.15,4.11,2.06
17031830021,17,031,830021,881.88,414.28,24.08,3.78,0,2,780.3,491.51,25.86,17.69,6.49
17031830022,17,031,830022,582.64,235.07,4.57,0.91,0.91,0,551.54,246.96,4.57,2.74,1.83
17031830023,17,031,830023,356,267,7,2,1,1,302,332,11,5,5
17031830024,17,031,830024,479.11,224.19,9.94,7.22,0,0,427.64,253.98,17.17,6.33,4.52
17031830025,17,031,830025,478.51,253.15,6.95,0.99,0,0,433.84,264.07,17.87,4.96,2.98
17031830026,17,031,830026,497,189,11,1,1,0,474,200,8,5,2
17031830027,17,031,830027,561.2,317.38,1.97,4.85,0.99,4.85,543.48,279.27,15.69,7.83,8.83
17031830028,17,031,830028,998.5,465.92,9.35,6.98,0.99,0.99,935.37,473.44,20.32,11,11.03
