GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29189QUE024,29,189,QUE024,275.27,312.27,3.99,0.73,7.25,235.02,326.41,17.05,2.54,8.34
29189QUE025,29,189,QUE025,8.8,10.66,0.29,0.21,0.29,7.86,11.07,0.5,0.16,0.34
29189QUE026,29,189,QUE026,128.83,140.69,4.24,0.85,5.93,116.96,140.69,12.71,0.85,5.09
29189QUE027,29,189,QUE027,0.35,0.38,0.01,0,0.02,0.31,0.38,0.03,0,0.01
29189QUE028,29,189,QUE028,27.03,32.73,0.88,0.64,0.88,24.14,34.01,1.52,0.48,1.04
29189QUE029,29,189,QUE029,455.37,514.56,8.02,5,7.04,374.17,548.63,27.08,5.01,18.04
29189QUE030,29,189,QUE030,112.74,119.85,2.04,2,1.96,89.28,131.46,6.41,2.68,5.65
29189QUE031,29,189,QUE031,290.19,246.33,2,3,4.09,249.93,258.33,12.17,5.04,12
29189QUE032,29,189,QUE032,79.75,102.73,1.74,0.05,0.27,64.68,108.86,2.76,0.88,0.19
29189QUE033,29,189,QUE033,13.36,16.76,0.32,0.08,0.08,11.82,17.17,0.49,0.16,0.49
29189QUE034,29,189,QUE034,221.34,268.23,6.98,4.95,6.95,197.63,278.4,12.11,3.8,8.5
29189QUE035,29,189,QUE035,183,251,7,6,8,164,256,11,4,8
29189QUE036,29,189,QUE036,44.45,51.09,0.41,0.54,2.17,40.04,52.38,1.73,0.31,1.62
29189QUE037,29,189,QUE037,423.43,520.22,12.93,4.23,1.23,362.01,537.38,16.4,4.47,20.4
29189QUE038,29,189,QUE038,104.5,127.07,3.31,2.26,3.08,93.23,131.82,5.64,1.79,4
29189QUE039,29,189,QUE039,344.54,407.29,9.29,0,7,292.09,426.3,14.43,2.14,17
