state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,003,5-23,3580,2805,231,238,3,211,1,11,80,3113,2494,181,189,3,185,1,6,54,737.9,261.1,849,271.9,653.1,191.1,819.5,250.6,720.5,286.90000000000003,826.1,255.70000000000002,658.5,211.4,729.3,655.8,831.5,274.3,201.1,259.2,752.3,247
10,003,5-24,1848,1350,171,197,1,70,0,2,57,1415,1076,129,128,1,51,0,1,29,476.7,322.2,557.3,334.7,382.5,182.4,547.8,297.9,494.6,283.3,550.6,311.2,384.6,189.5,485.5,383.4,551.9,302.6,185.5,314.6,484.6,274.4
10,003,5-25,1885,1244,206,62,0,320,0,6,47,1305,898,141,39,0,206,0,5,16,598.5,399.6,795.2,400.7,565.4,261.1,795.2,370.2,629.5,378.8,786.2,388.5,562.1,273.9,613.9,563.6,792.2,389.2,267.3,386.5,675.9,353.1
10,003,5-26,3320,1775,871,239,9,312,1,12,101,2535,1484,618,140,4,230,1,8,50,944.9,286.09999999999997,1045,270.1,804.8,188.1,1006,244.9,896.2,289,993.1,272.1,802.9,203.1,920.5,803.8,1014.6,287.6,195.6,262.4,927.6,250.4
10,003,5-27,2310,1634,461,86,4,52,3,12,58,1781,1306,341,50,4,41,3,6,30,746.9,511.7,913.1999999999999,483.9,712.2,341.1,914,450.1,783.1,464.2,896,468.1,711,345.09999999999997,765,711.8,907.8,487.8,343,467.7,811.1,437.90000000000003
10,003,5-3,1911,165,1437,227,2,46,0,8,26,1474,160,1076,164,2,45,0,5,22,674.9,42.4,732.5,60.4,443,32.9,645.4,49.3,573.2,40.3,659.4,52,410.1,65.6,623.7,426.2,679,41.4,49.5,53.7,591.3,49
10,003,5-4,1419,284,799,298,3,13,0,1,21,1052,246,586,192,3,12,0,1,12,473.7,52.199999999999996,543.3,62.4,378.1,41.4,490.4,64,417.6,60.6,499.9,70.2,339.2,78.2,445.6,358.6,511.3,56.3,59.800000000000004,65.39999999999999,448.9,61.2
10,003,5-5,2383,559,1234,196,2,301,3,5,83,1696,460,855,120,2,211,3,2,43,983.6,138.79999999999998,1063.7,148.9,792.2,91.3,1008.4,127.7,917.3,124.5,1024.1,135,744,141.3,950.4,768.1,1031.9,131.70000000000002,116.2,137.2,933.5,129.7
10,003,5-6,1708,1033,410,61,0,165,0,5,34,1480,939,334,45,0,134,0,5,23,577.1,178,725.6,181.1,524.5,116.7,690.8,160.6,583.3,172.5,693.6,166.3,507.8,133.4,580.3,516.1999999999999,703.4,175.3,124.9,169.3,614.7,158.4
10,003,5-7,949,876,28,12,2,18,0,1,12,819,764,25,8,2,14,0,1,5,509.2,124,584.2,136.8,491.5,98.2,585.6,123.9,512.9,132.7,582.3,124.7,510.7,100.4,510.7,501,584.3,128.8,99.2,128.4,539.8,120.2
10,003,5-8,4855,3157,1081,243,7,207,2,20,138,3259,2190,720,150,5,138,1,4,51,1543.5,965.3,1970.1000000000001,992.2,1441.4,633,1950,924.3,1659,852.6,1954.8999999999999,947.8,1344.8,753.8,1601.2,1393.2,1958.1,908.6,693.1,954.7,1694.8,866.7
10,003,5-9,3006,2628,198,66,11,51,0,5,47,2077,1833,142,30,7,40,0,2,23,1006.5,1155.8,1986.9,1543.3,1264.4,922.4,1977.6,1441.6,1128.7,1064,1962.1,1477.8,1259,930.8000000000001,1067.1,1262,1975.6,1109.9,926.5,1487.4,1512.5,1219.8
