GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28011000203,MS,Bolivar County,000203,1817,57,1293,320,2,71,0,6,68,1411,32,1048,209,2,58,0,4,58,656,123,511,135,457,139,619,183,589,213,656,123,511,135,604,198,566.4,158.6
28011000204,MS,Bolivar County,000204,3302,122,2529,489,0,60,0,8,94,2600,104,2011,357,0,47,0,6,75,1200.3,222.6,969.3,179.8,863.8,183.8,1106.3,250.7,1042.6,307.2,1200.3,222.6,969.3,179.8,1074.4,278.9,1036.5,228.8
28011000301,MS,Bolivar County,000301,515,12,156,339,0,1,0,0,7,421,11,138,264,0,1,0,0,7,55,174,54,112,45,130,62,148,58,158,55,174,54,112,60,153,54.8,144.4
28011000302,MS,Bolivar County,000302,2161,20,103,2006,1,0,0,4,27,1552,11,88,1432,0,0,0,0,21,67.7,914.8,79.1,627.1,44.7,734,74.1,852.4,56.8,875.8,67.7,914.8,79.1,627.1,65.4,864.1,64.5,800.8
28011000303,MS,Bolivar County,000303,2126,20,126,1935,0,1,0,5,39,1596,19,97,1444,0,1,0,5,30,72.8,987.9,67.9,699.6,40.3,832.4,83.6,879.6,66.9,908.2,72.8,987.9,67.9,699.6,75.3,893.9,66.3,861.5
28011000401,MS,Bolivar County,000401,590,70,241,260,1,4,0,3,11,428,39,186,191,1,4,0,3,4,147.7,168.8,126.7,128.6,106.9,148.9,145.4,164.2,129.9,177.6,147.7,168.8,126.7,128.6,137.6,170.9,131.3,157.6
28011000402,MS,Bolivar County,000402,2678,77,376,2160,0,0,0,6,59,2159,51,356,1711,0,0,0,1,40,52.3,1333.1,53,1014.4,26.8,1159.2,80.5,1308.7,52.6,1347.2,52.3,1333.1,53,1014.4,66.5,1328,53,1232.5
28011000403,MS,Bolivar County,000403,1600,35,269,1249,2,7,0,1,37,1169,21,226,885,0,7,0,0,30,118.3,359.1,97.5,260.6,78.8,302.3,128.7,402.2,115.8,410.1,118.3,359.1,97.5,260.6,122.2,406.2,107.8,346.8
28011000404,MS,Bolivar County,000404,453,10,37,387,2,0,0,3,14,334,7,20,290,2,0,0,3,12,14,231,13,180,8,206,16,259,10,267,14,231,13,180,13,263,12.2,228.6
28011000405,MS,Bolivar County,000405,1484,13,22,1414,0,3,0,1,31,1000,8,22,947,0,3,0,0,20,16.3,250.6,18,186.4,11.2,215.1,25,252.7,20.6,259.3,16.3,250.6,18,186.4,22.8,256,18.2,232.8
28011000406,MS,Bolivar County,000406,682,22,495,121,1,12,0,6,25,516,20,374,87,1,10,0,4,20,161,60,148,53,125,60,176,108,163,125,161,60,148,53,169.5,116.5,154.6,81.2
28011000501,MS,Bolivar County,000501,1675,46,871,699,1,9,0,2,47,1298,29,701,525,1,5,0,2,35,520.1,412.1,443.3,301,402.4,339.2,548.5,410.1,520.9,440.5,520.1,412.1,443.3,301,534.7,425.3,487.1,380.6
