GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20077000030,20,077,000030,11,51,2,2,1,10,52,3,0
20077000040,20,077,000040,16.9,129.6,11,0,2,23.9,123.6,10,0
20077000050,20,077,000050,41,194.3,13.7,11.7,0,39,190.4,16.6,0
20077000060,20,077,000060,65,208,16,10,3,58,222,17,0
20077000070,20,077,000070,60,318,8,7,0,59,308,19,0
20077000080,20,077,000080,2,47,1,0,0,4,44,2,0
20077000100,20,077,000100,18,53,4,7,0,19,57,5,0
20077800010,20,077,800010,9.1,47.4,8,0,0,9.1,49.4,2,0
20077800020,20,077,800020,11.4,73.9,1.9,0.9,0.9,10.4,77.7,0.9,0
20077800030,20,077,800030,16,148.7,4.3,2.3,2,18,148.6,4.4,0
20077800040,20,077,800040,7,50,2,1,0,5,51,4,0
20077800050,20,077,800050,16,85,6,2,0,7,93,6,0
20077800060,20,077,800060,4,45,2,0,0,5,42,2,0
20077900010,20,077,900010,0.3,2.1,0,0,0,0.3,2.2,0,0
20077900020,20,077,900020,0.2,1.4,0,0,0,0.2,1.5,0,0
20077900030,20,077,900030,0,0,0,0,0,0,0,0,0
20077900040,20,077,900040,0,0,0,0,0,0,0,0,0
20077900050,20,077,900050,0,0,0,0,0,0,0,0,0
20077900060,20,077,900060,0,0,0,0,0,0,0,0,0
